Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2,Discipline,Resultaat,Punten Resultaat,Week
Onbekend,Maggiolo Esteban,5572931,19,Argentina,Man,1910,Meerkampers,20,1,11,166,69,13,10,1,2,3,2,1,8,10,Tienkamp,4150 p,415,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Vijfkamp Mannen - Verspringen,2.13 m,333,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Vijfkamp Mannen - Speerwerpen,17.81 m,286,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Vijfkamp Mannen - 200 meter,28.82 s,459,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Vijfkamp Mannen - Discuswerpen,14.78 m,249,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Vijfkamp Mannen - 1500 meter,4:59.00,489,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Tienkamp - 100 meter,14.40 s,426,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Tienkamp - Verspringen,2.13 m,333,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Tienkamp - Kogelstoten,3.45 m,195,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Tienkamp - Hoogspringen,0.43 m,255,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Tienkamp - 400 meter,1:04.04,502,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Tienkamp - 110 meter horden,21.58 s,456,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Tienkamp - Discuswerpen,14.86 m,250,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Tienkamp - Polsstokhoogspringen,1.41 m,297,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Tienkamp - Speerwerpen,17.65 m,283,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Tienkamp - 1500 meter,5:00.14,477,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Vijfkamp Mannen,1816 p,363,8
Onbekend,Magnanini Alfredo,5653295,15,Italia,Man,240,Meerkampers,14,1,15,164,63,10,2,3,3,3,2,5,7,5,Tienkamp,3474 p,347,8
10.000 meter,Mairena Sebastián,5602730,18,Costa Rica,Man,2400,Langeafstandslopers,20,2,17,169,68,18,2,11,7,1,6,1,6,7,5.000 meter,17:15.00,614,7
10.000 meter,Mairena Sebastián,5602730,18,Costa Rica,Man,2400,Langeafstandslopers,20,2,17,169,68,18,2,11,7,1,6,1,6,7,10.000 meter,38:38.77,690,7
10.000 meter,Mairena Sebastián,5602730,18,Costa Rica,Man,2400,Langeafstandslopers,20,2,17,169,68,18,2,11,7,1,6,1,6,7,Marathon,2h:41:25.47,682,7
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Vijfkamp Mannen - Verspringen,3.29 m,514,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Vijfkamp Mannen - Speerwerpen,26.43 m,424,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Vijfkamp Mannen - 200 meter,28.03 s,543,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Vijfkamp Mannen - Discuswerpen,22.49 m,379,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Vijfkamp Mannen - 1500 meter,5:01.71,462,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Tienkamp - 100 meter,14.13 s,484,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Tienkamp - Verspringen,3.23 m,505,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Tienkamp - Kogelstoten,6.13 m,347,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Tienkamp - Hoogspringen,0.85 m,505,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Tienkamp - 400 meter,1:02.46,576,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Tienkamp - 110 meter horden,21.05 s,531,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Tienkamp - Discuswerpen,21.64 m,365,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Tienkamp - Polsstokhoogspringen,2.13 m,449,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Tienkamp - Speerwerpen,26.01 m,418,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Tienkamp - 1500 meter,4:58.14,498,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Vijfkamp Mannen,2322 p,464,8
Onbekend,Majeský Ivan,5572547,17,Slovensko,Man,960,Meerkampers,20,1,16,189,95,18,5,4,5,3,8,2,6,7,Tienkamp,4678 p,468,8
Onbekend,Mambella Annalisa,5652207,17,Italia,Vrouw,500,Sprinters,15,1,15,163,62,13,2,4,8,6,0,1,6,3,100 meter,15.20 s,587,7
Onbekend,Mambella Annalisa,5652207,17,Italia,Vrouw,500,Sprinters,15,1,15,163,62,13,2,4,8,6,0,1,6,3,200 meter,30.12 s,567,7
Onbekend,Mambella Annalisa,5652207,17,Italia,Vrouw,500,Sprinters,15,1,15,163,62,13,2,4,8,6,0,1,6,3,400 meter,1:09.13,606,7
Onbekend,Mambella Annalisa,5652207,17,Italia,Vrouw,500,Sprinters,15,1,15,163,62,13,2,4,8,6,0,1,6,3,100 meter horden,21.28 s,647,7
Onbekend,Mambella Annalisa,5652207,17,Italia,Vrouw,500,Sprinters,15,1,15,163,62,13,2,4,8,6,0,1,6,3,400 meter horden,1:18.96,680,7
Onbekend,Manaki Tamara,5656002,17,Hellas,Vrouw,1700,Werpers,12,1,15,161,58,20,2,3,1,1,3,10,6,5,Kogelstoten,4.53 m,0,7
Onbekend,Manaki Tamara,5656002,17,Hellas,Vrouw,1700,Werpers,12,1,15,161,58,20,2,3,1,1,3,10,6,5,Discuswerpen,18.15 m,0,7
Onbekend,Manaki Tamara,5656002,17,Hellas,Vrouw,1700,Werpers,12,1,15,161,58,20,2,3,1,1,3,10,6,5,Kogelslingeren,15.69 m,0,7
Onbekend,Manaki Tamara,5656002,17,Hellas,Vrouw,1700,Werpers,12,1,15,161,58,20,2,3,1,1,3,10,6,5,Speerwerpen,15.61 m,0,7
Onbekend,Maneggio Gina,5593955,17,Italia,Vrouw,650,Middenafstandslopers,20,1,15,164,66,10,2,6,7,1,5,2,8,6,800 meter,2:41.26,618,7
Onbekend,Maneggio Gina,5593955,17,Italia,Vrouw,650,Middenafstandslopers,20,1,15,164,66,10,2,6,7,1,5,2,8,6,1.500 meter,5:19.27,641,7
Onbekend,Maneggio Gina,5593955,17,Italia,Vrouw,650,Middenafstandslopers,20,1,15,164,66,10,2,6,7,1,5,2,8,6,3.000 meter steeplechase,17:21.65,641,7
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Vijfkamp Mannen - Verspringen,2.85 m,445,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Vijfkamp Mannen - Speerwerpen,20.19 m,324,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Vijfkamp Mannen - 200 meter,28.60 s,483,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Vijfkamp Mannen - Discuswerpen,17.35 m,292,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Vijfkamp Mannen - 1500 meter,4:58.01,499,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Tienkamp - 100 meter,14.36 s,435,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Tienkamp - Verspringen,2.81 m,439,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Tienkamp - Kogelstoten,4.34 m,245,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Tienkamp - Hoogspringen,0.67 m,398,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Tienkamp - 400 meter,1:03.16,543,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Tienkamp - 110 meter horden,21.37 s,486,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Tienkamp - Discuswerpen,17.54 m,295,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Tienkamp - Polsstokhoogspringen,1.90 m,400,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Tienkamp - Speerwerpen,20.55 m,330,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Tienkamp - 1500 meter,5:00.57,473,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Vijfkamp Mannen,2043 p,409,8
Onbekend,Manojlović Janko,5574322,17,Srbija,Man,300,Meerkampers,18,3,15,170,80,6,2,4,3,2,7,5,6,6,Tienkamp,4044 p,404,8
50 km snelwandelen,Mantovan Achim,4933758,34,Deutschland,Man,8870,Snelwandelaars,14,14,16,187,67,7,0,13,0,3,0,0,12,10,10 km snelwandelen,56:17.10,871,7
50 km snelwandelen,Mantovan Achim,4933758,34,Deutschland,Man,8870,Snelwandelaars,14,14,16,187,67,7,0,13,0,3,0,0,12,10,20 km snelwandelen,1h:48:49.71,894,7
50 km snelwandelen,Mantovan Achim,4933758,34,Deutschland,Man,8870,Snelwandelaars,14,14,16,187,67,7,0,13,0,3,0,0,12,10,50 km snelwandelen,4h:35:49.23,860,7
Zevenkamp,Mapelli Donata,5158342,28,Italia,Vrouw,7270,Meerkampers,20,6,16,185,82,18,10,2,4,10,2,3,11,13,Vijfkamp Vrouwen - 100 meter horden,19.79 s,809,8
Zevenkamp,Mapelli Donata,5158342,28,Italia,Vrouw,7270,Meerkampers,20,6,16,185,82,18,10,2,4,10,2,3,11,13,Vijfkamp Vrouwen - Hoogspringen,0.92 m,602,8
Zevenkamp,Mapelli Donata,5158342,28,Italia,Vrouw,7270,Meerkampers,20,6,16,185,82,18,10,2,4,10,2,3,11,13,Vijfkamp Vrouwen - Kogelstoten,10.33 m,607,8
Zevenkamp,Mapelli Donata,5158342,28,Italia,Vrouw,7270,Meerkampers,20,6,16,185,82,18,10,2,4,10,2,3,11,13,Vijfkamp Vrouwen - Verspringen,3.30 m,634,8
Zevenkamp,Mapelli Donata,5158342,28,Italia,Vrouw,7270,Meerkampers,20,6,16,185,82,18,10,2,4,10,2,3,11,13,Vijfkamp Vrouwen - 800 meter,2:36.30,725,8
Zevenkamp,Mapelli Donata,5158342,28,Italia,Vrouw,7270,Meerkampers,20,6,16,185,82,18,10,2,4,10,2,3,11,13,Zevenkamp - 100 meter horden,19.51 s,847,8
Zevenkamp,Mapelli Donata,5158342,28,Italia,Vrouw,7270,Meerkampers,20,6,16,185,82,18,10,2,4,10,2,3,11,13,Zevenkamp - Hoogspringen,0.95 m,622,8
Zevenkamp,Mapelli Donata,5158342,28,Italia,Vrouw,7270,Meerkampers,20,6,16,185,82,18,10,2,4,10,2,3,11,13,Zevenkamp - Kogelstoten,10.50 m,617,8
Zevenkamp,Mapelli Donata,5158342,28,Italia,Vrouw,7270,Meerkampers,20,6,16,185,82,18,10,2,4,10,2,3,11,13,Zevenkamp - 200 meter,27.25 s,736,8
Zevenkamp,Mapelli Donata,5158342,28,Italia,Vrouw,7270,Meerkampers,20,6,16,185,82,18,10,2,4,10,2,3,11,13,Zevenkamp - Verspringen,3.35 m,644,8
Zevenkamp,Mapelli Donata,5158342,28,Italia,Vrouw,7270,Meerkampers,20,6,16,185,82,18,10,2,4,10,2,3,11,13,Zevenkamp - Speerwerpen,35.01 m,738,8
Zevenkamp,Mapelli Donata,5158342,28,Italia,Vrouw,7270,Meerkampers,20,6,16,185,82,18,10,2,4,10,2,3,11,13,Zevenkamp - 800 meter,2:35.37,742,8
Zevenkamp,Mapelli Donata,5158342,28,Italia,Vrouw,7270,Meerkampers,20,6,16,185,82,18,10,2,4,10,2,3,11,13,Vijfkamp Vrouwen,3377 p,675,8
Zevenkamp,Mapelli Donata,5158342,28,Italia,Vrouw,7270,Meerkampers,20,6,16,185,82,18,10,2,4,10,2,3,11,13,Zevenkamp,4946 p,707,8
Onbekend,Marakomixelaki Theano,5658207,15,Hellas,Vrouw,490,Meerkampers,15,1,15,165,63,6,7,2,5,3,2,4,7,8,Vijfkamp Vrouwen - 100 meter horden,21.48 s,579,8
Onbekend,Marakomixelaki Theano,5658207,15,Hellas,Vrouw,490,Meerkampers,15,1,15,165,63,6,7,2,5,3,2,4,7,8,Vijfkamp Vrouwen - Hoogspringen,0.44 m,288,8
Onbekend,Marakomixelaki Theano,5658207,15,Hellas,Vrouw,490,Meerkampers,15,1,15,165,63,6,7,2,5,3,2,4,7,8,Vijfkamp Vrouwen - Kogelstoten,5.99 m,352,8
Onbekend,Marakomixelaki Theano,5658207,15,Hellas,Vrouw,490,Meerkampers,15,1,15,165,63,6,7,2,5,3,2,4,7,8,Vijfkamp Vrouwen - Verspringen,1.99 m,382,8
Onbekend,Marakomixelaki Theano,5658207,15,Hellas,Vrouw,490,Meerkampers,15,1,15,165,63,6,7,2,5,3,2,4,7,8,Vijfkamp Vrouwen - 800 meter,2:47.82,521,8
Onbekend,Marakomixelaki Theano,5658207,15,Hellas,Vrouw,490,Meerkampers,15,1,15,165,63,6,7,2,5,3,2,4,7,8,Zevenkamp - 100 meter horden,21.51 s,575,8
Onbekend,Marakomixelaki Theano,5658207,15,Hellas,Vrouw,490,Meerkampers,15,1,15,165,63,6,7,2,5,3,2,4,7,8,Zevenkamp - Hoogspringen,0.45 m,294,8
Onbekend,Marakomixelaki Theano,5658207,15,Hellas,Vrouw,490,Meerkampers,15,1,15,165,63,6,7,2,5,3,2,4,7,8,Zevenkamp - Kogelstoten,5.92 m,348,8
Onbekend,Marakomixelaki Theano,5658207,15,Hellas,Vrouw,490,Meerkampers,15,1,15,165,63,6,7,2,5,3,2,4,7,8,Zevenkamp - 200 meter,29.97 s,460,8
Onbekend,Marakomixelaki Theano,5658207,15,Hellas,Vrouw,490,Meerkampers,15,1,15,165,63,6,7,2,5,3,2,4,7,8,Zevenkamp - Verspringen,2.05 m,394,8
Onbekend,Marakomixelaki Theano,5658207,15,Hellas,Vrouw,490,Meerkampers,15,1,15,165,63,6,7,2,5,3,2,4,7,8,Zevenkamp - Speerwerpen,20.01 m,422,8
Onbekend,Marakomixelaki Theano,5658207,15,Hellas,Vrouw,490,Meerkampers,15,1,15,165,63,6,7,2,5,3,2,4,7,8,Zevenkamp - 800 meter,2:47.04,534,8
Onbekend,Marakomixelaki Theano,5658207,15,Hellas,Vrouw,490,Meerkampers,15,1,15,165,63,6,7,2,5,3,2,4,7,8,Vijfkamp Vrouwen,2122 p,424,8
Onbekend,Marakomixelaki Theano,5658207,15,Hellas,Vrouw,490,Meerkampers,15,1,15,165,63,6,7,2,5,3,2,4,7,8,Zevenkamp,3027 p,432,8
Kogelstoten,Marañón Hugo,4862979,36,España,Man,10290,Werpers,20,15,13,171,68,15,11,0,0,0,1,12,11,12,Kogelstoten,12.38 m,361,7
Kogelstoten,Marañón Hugo,4862979,36,España,Man,10290,Werpers,20,15,13,171,68,15,11,0,0,0,1,12,11,12,Discuswerpen,43.16 m,422,7
Kogelstoten,Marañón Hugo,4862979,36,España,Man,10290,Werpers,20,15,13,171,68,15,11,0,0,0,1,12,11,12,Kogelslingeren,40.30 m,308,7
Kogelstoten,Marañón Hugo,4862979,36,España,Man,10290,Werpers,20,15,13,171,68,15,11,0,0,0,1,12,11,12,Speerwerpen,44.16 m,396,7
Onbekend,Marchal Nitisha,5556568,18,France,Vrouw,2410,Springers,20,2,17,162,65,10,1,2,10,10,4,2,7,9,Hoogspringen,0.76 m,78,7
Onbekend,Marchal Nitisha,5556568,18,France,Vrouw,2410,Springers,20,2,17,162,65,10,1,2,10,10,4,2,7,9,Polsstokhoogspringen,1.98 m,174,7
Onbekend,Marchal Nitisha,5556568,18,France,Vrouw,2410,Springers,20,2,17,162,65,10,1,2,10,10,4,2,7,9,Verspringen,3.19 m,271,7
Onbekend,Marchal Nitisha,5556568,18,France,Vrouw,2410,Springers,20,2,17,162,65,10,1,2,10,10,4,2,7,9,Hinkstapspringen,6.04 m,229,7
Onbekend,Marcuzzo Sabina,5648973,21,Italia,Vrouw,730,Snelwandelaars,18,1,16,167,61,18,3,7,3,3,0,2,4,3,10 km snelwandelen,1h:09:25.69,570,7
Onbekend,Marcuzzo Sabina,5648973,21,Italia,Vrouw,730,Snelwandelaars,18,1,16,167,61,18,3,7,3,3,0,2,4,3,20 km snelwandelen,2h:20:34.98,528,7
Onbekend,Marcuzzo Sabina,5648973,21,Italia,Vrouw,730,Snelwandelaars,18,1,16,167,61,18,3,7,3,3,0,2,4,3,50 km snelwandelen,5h:47:44.91,476,7
Onbekend,Marczewska Berenika,5617534,18,Polska,Vrouw,1220,Snelwandelaars,19,1,14,170,64,18,2,8,2,2,2,2,8,7,10 km snelwandelen,1h:07:15.66,654,7
Onbekend,Marczewska Berenika,5617534,18,Polska,Vrouw,1220,Snelwandelaars,19,1,14,170,64,18,2,8,2,2,2,2,8,7,20 km snelwandelen,2h:15:09.14,634,7
Onbekend,Marczewska Berenika,5617534,18,Polska,Vrouw,1220,Snelwandelaars,19,1,14,170,64,18,2,8,2,2,2,2,8,7,50 km snelwandelen,5h:30:44.85,612,7
Onbekend,Marigo Gina,5608926,17,Italia,Vrouw,260,Langeafstandslopers,20,2,15,170,68,12,3,3,6,2,3,3,6,5,5.000 meter,21:21.45,471,7
Onbekend,Marigo Gina,5608926,17,Italia,Vrouw,260,Langeafstandslopers,20,2,15,170,68,12,3,3,6,2,3,3,6,5,10.000 meter,47:06.26,431,7
Onbekend,Marigo Gina,5608926,17,Italia,Vrouw,260,Langeafstandslopers,20,2,15,170,68,12,3,3,6,2,3,3,6,5,Marathon,3h:17:39.41,477,7
Onbekend,Marmarotouris Iasonas,5647508,15,Hellas,Man,570,Springers,11,1,16,176,76,6,3,3,8,2,7,3,8,5,Hoogspringen,0.71 m,0,7
Onbekend,Marmarotouris Iasonas,5647508,15,Hellas,Man,570,Springers,11,1,16,176,76,6,3,3,8,2,7,3,8,5,Polsstokhoogspringen,2.06 m,17,7
Onbekend,Marmarotouris Iasonas,5647508,15,Hellas,Man,570,Springers,11,1,16,176,76,6,3,3,8,2,7,3,8,5,Verspringen,3.42 m,162,7
Onbekend,Marmarotouris Iasonas,5647508,15,Hellas,Man,570,Springers,11,1,16,176,76,6,3,3,8,2,7,3,8,5,Hinkstapspringen,5.61 m,13,7
Onbekend,Marshall Billy,5655684,17,Great Britain,Man,760,Langeafstandslopers,11,1,14,163,63,18,1,8,2,2,2,2,4,4,5.000 meter,18:10.23,472,7
Onbekend,Marshall Billy,5655684,17,Great Britain,Man,760,Langeafstandslopers,11,1,14,163,63,18,1,8,2,2,2,2,4,4,10.000 meter,42:02.00,464,7
Onbekend,Marshall Billy,5655684,17,Great Britain,Man,760,Langeafstandslopers,11,1,14,163,63,18,1,8,2,2,2,2,4,4,Marathon,2h:52:11.30,509,7
Onbekend,Maruffi Romina,5639587,16,Italia,Vrouw,220,Langeafstandslopers,16,1,15,170,65,12,6,1,1,3,1,1,6,4,5.000 meter,22:12.31,360,7
Onbekend,Maruffi Romina,5639587,16,Italia,Vrouw,220,Langeafstandslopers,16,1,15,170,65,12,6,1,1,3,1,1,6,4,10.000 meter,48:21.52,356,7
Onbekend,Maruffi Romina,5639587,16,Italia,Vrouw,220,Langeafstandslopers,16,1,15,170,65,12,6,1,1,3,1,1,6,4,Marathon,3h:24:53.49,375,7
Onbekend,Maselli Fiamma,5616772,17,Italia,Vrouw,1170,Sprinters,17,1,17,168,66,13,0,3,10,5,1,1,8,5,100 meter,14.67 s,681,7
Onbekend,Maselli Fiamma,5616772,17,Italia,Vrouw,1170,Sprinters,17,1,17,168,66,13,0,3,10,5,1,1,8,5,200 meter,29.56 s,617,7
Onbekend,Maselli Fiamma,5616772,17,Italia,Vrouw,1170,Sprinters,17,1,17,168,66,13,0,3,10,5,1,1,8,5,400 meter,1:07.03,687,7
Onbekend,Maselli Fiamma,5616772,17,Italia,Vrouw,1170,Sprinters,17,1,17,168,66,13,0,3,10,5,1,1,8,5,100 meter horden,20.81 s,705,7
Onbekend,Maselli Fiamma,5616772,17,Italia,Vrouw,1170,Sprinters,17,1,17,168,66,13,0,3,10,5,1,1,8,5,400 meter horden,1:17.08,741,7
400 meter horden,Mattheakis Leon,4994398,33,Hellas,Man,7980,Sprinters,20,9,18,176,72,18,10,1,14,0,0,0,11,9,100 meter,12.33 s,905,7
400 meter horden,Mattheakis Leon,4994398,33,Hellas,Man,7980,Sprinters,20,9,18,176,72,18,10,1,14,0,0,0,11,9,200 meter,25.27 s,881,7
400 meter horden,Mattheakis Leon,4994398,33,Hellas,Man,7980,Sprinters,20,9,18,176,72,18,10,1,14,0,0,0,11,9,400 meter,55.41 s,952,7
400 meter horden,Mattheakis Leon,4994398,33,Hellas,Man,7980,Sprinters,20,9,18,176,72,18,10,1,14,0,0,0,11,9,110 meter horden,19.39 s,849,7
400 meter horden,Mattheakis Leon,4994398,33,Hellas,Man,7980,Sprinters,20,9,18,176,72,18,10,1,14,0,0,0,11,9,400 meter horden,1:04.93,951,7
400 meter,Matthews Glenn,4735448,39,New Zealand,Man,21460,Sprinters,19,15,17,185,80,19,0,0,18,4,0,0,8,10,100 meter,12.69 s,836,7
400 meter,Matthews Glenn,4735448,39,New Zealand,Man,21460,Sprinters,19,15,17,185,80,19,0,0,18,4,0,0,8,10,200 meter,25.45 s,864,7
400 meter,Matthews Glenn,4735448,39,New Zealand,Man,21460,Sprinters,19,15,17,185,80,19,0,0,18,4,0,0,8,10,400 meter,54.19 s,1003,7
400 meter,Matthews Glenn,4735448,39,New Zealand,Man,21460,Sprinters,19,15,17,185,80,19,0,0,18,4,0,0,8,10,110 meter horden,19.06 s,891,7
400 meter,Matthews Glenn,4735448,39,New Zealand,Man,21460,Sprinters,19,15,17,185,80,19,0,0,18,4,0,0,8,10,400 meter horden,1:05.84,918,7
Onbekend,Maury Mourad,5596755,17,France,Man,820,Meerkampers,17,1,15,182,83,8,2,2,3,9,0,9,4,3,Vijfkamp Mannen - Verspringen,2.57 m,401,8
Onbekend,Maury Mourad,5596755,17,France,Man,820,Meerkampers,17,1,15,182,83,8,2,2,3,9,0,9,4,3,Vijfkamp Mannen - Speerwerpen,31.22 m,501,8
Onbekend,Maury Mourad,5596755,17,France,Man,820,Meerkampers,17,1,15,182,83,8,2,2,3,9,0,9,4,3,Vijfkamp Mannen - 200 meter,28.83 s,458,8
Onbekend,Maury Mourad,5596755,17,France,Man,820,Meerkampers,17,1,15,182,83,8,2,2,3,9,0,9,4,3,Vijfkamp Mannen - Discuswerpen,27.18 m,458,8
Onbekend,Maury Mourad,5596755,17,France,Man,820,Meerkampers,17,1,15,182,83,8,2,2,3,9,0,9,4,3,Vijfkamp Mannen - 1500 meter,5:06.71,411,8
Onbekend,Maury Mourad,5596755,17,France,Man,820,Meerkampers,17,1,15,182,83,8,2,2,3,9,0,9,4,3,Tienkamp - 100 meter,14.28 s,452,8
Onbekend,Maury Mourad,5596755,17,France,Man,820,Meerkampers,17,1,15,182,83,8,2,2,3,9,0,9,4,3,Tienkamp - Verspringen,2.52 m,394,8
Onbekend,Maury Mourad,5596755,17,France,Man,820,Meerkampers,17,1,15,182,83,8,2,2,3,9,0,9,4,3,Tienkamp - Kogelstoten,6.62 m,375,8
Onbekend,Maury Mourad,5596755,17,France,Man,820,Meerkampers,17,1,15,182,83,8,2,2,3,9,0,9,4,3,Tienkamp - Hoogspringen,0.63 m,375,8
Onbekend,Maury Mourad,5596755,17,France,Man,820,Meerkampers,17,1,15,182,83,8,2,2,3,9,0,9,4,3,Tienkamp - 400 meter,1:02.86,557,8
Onbekend,Maury Mourad,5596755,17,France,Man,820,Meerkampers,17,1,15,182,83,8,2,2,3,9,0,9,4,3,Tienkamp - 110 meter horden,21.04 s,532,8
Onbekend,Maury Mourad,5596755,17,France,Man,820,Meerkampers,17,1,15,182,83,8,2,2,3,9,0,9,4,3,Tienkamp - Discuswerpen,26.53 m,447,8
